Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
595.101206,538.079797,57.021409,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.021460,Sample18
595.101206,569.085097,26.016109,Abiotic,C2H2,C2H2,26.015650,Sample18
595.101206,577.090438,18.010768,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
595.101206,579.106149,15.995057,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
595.101206,581.085315,14.015891,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
595.101206,593.085462,2.015744,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
595.101206,596.132421,1.031215,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.031630,Sample18
595.101206,611.096708,15.995502,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
595.101206,613.091769,17.990563,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample18
595.101206,551.11041,43.990796,Abiotic,Carboxylation,CO2,43.989829,Sample18
595.101206,621.117848,26.016642,Abiotic,C2H2,C2H2,26.015650,Sample18
595.101206,623.096978,27.995772,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
595.101206,623.13311,28.031904,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
595.101206,625.075996,29.97479,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
595.101206,565.126719,29.974487,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
595.101206,553.089839,42.011367,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample18
595.101206,597.117541,2.016335,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
595.101206,567.105762,27.995444,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
595.101206,567.069418,28.031788,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
595.15354,577.163382,17.990158,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample18
595.15354,569.137267,26.016273,Abiotic,C2H2,C2H2,26.015650,Sample18
595.15354,417.10677,178.04677,Sugar,C6H10O6,C6H10O6,178.047738,Sample18
595.15354,480.127202,115.026338,Amino Acid,Aspartic_Acid_(-H2O),C4H5NO3,115.026943,Sample18
595.15354,611.149144,15.995604,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
595.15354,613.164759,18.011219,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
595.15354,639.143816,43.990276,Abiotic,Carboxylation,CO2,43.989829,Sample18
595.15354,419.122353,176.031187,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,176.032088,Sample18
565.163028,583.173462,18.010434,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
565.163028,581.158213,15.995185,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
565.163028,583.153398,17.99037,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample18
565.163028,609.153753,43.990725,Abiotic,Carboxylation,CO2,43.989829,Sample18
565.163028,403.109366,162.053662,Sugar,Glucoside_Conjugation_(-H),C6H11O5,162.052820,Sample18
565.163028,433.120596,132.042432,Sugar,D-Ribose_(-H2O)_(ribosylation),C5H8O4,132.042259,Sample18
565.163028,451.120235,114.042793,Amino Acid,Asparagine_(-H2O),C4H6N2O2,114.042928,Sample18
565.163028,498.108978,67.05405,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample18
565.163028,535.188191,29.974837,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
565.163028,547.151783,18.011245,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
565.163028,645.119201,79.956173,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample18
565.163028,563.147291,2.015737,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
565.163028,537.167416,27.995612,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
565.163028,593.158917,27.995889,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
565.163028,539.146589,26.016439,Abiotic,C2H2,C2H2,26.015650,Sample18
565.163028,567.179011,2.015983,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
565.163028,300.08126,265.081768,Amino Acid,Guanosine_(-H2O),C10H11N5O4,265.081104,Sample18
565.163028,593.194755,28.031727,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
565.163028,339.084768,226.07826,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,226.077600,Sample18
565.163028,579.179322,14.016294,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
565.163028,549.167725,15.995303,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
453.135675,411.12438,42.011295,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample18
453.135675,581.194909,128.059234,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,128.058578,Sample18
453.135675,397.144864,55.990811,Sugar,Glyoxylate_(-H2O),C2O2,55.989829,Sample18
453.135675,422.161617,30.974058,Abiotic,Inorganic_Phosphate,P,30.973763,Sample18
453.135675,451.120235,2.01544,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
453.135675,454.139313,1.003638,Abiotic,Carbon/dehydrogenation,C13,1.003350,Sample18
453.135675,419.17412,33.961555,Abiotic,Reductive_Dechlorination_(-Cl),H,33.961030,Sample18
453.135675,556.145709,103.010034,Amino Acid,Cysteine_(-H2O),C3H5NOS,103.009186,Sample18
453.135675,435.169459,17.966216,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample18
453.135675,567.179011,114.043336,Amino Acid,Asparagine_(-H2O),C4H6N2O2,114.042928,Sample18
453.135675,322.094265,131.04141,Amino Acid,Methionine_(-H2O),C5H9NOS,131.040486,Sample18
453.135675,332.115106,121.020569,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,121.019750,Sample18
453.135675,427.11979,26.015885,Abiotic,C2H2,C2H2,26.015650,Sample18
453.135675,451.140684,1.994991,Abiotic,Oxidative_Defluorination_(-F),HO,1.995660,Sample18
453.135675,455.151638,2.015963,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
566.121311,565.090139,1.031172,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.031630,Sample18
566.121311,317.034635,249.086676,Amino Acid,Adenosine_(-H2O),C10H11N5O3,249.086189,Sample18
566.121311,552.105662,14.015649,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
566.121311,441.086135,125.035176,Amino Acid,Thymine_(-H),C5H5N2O2,125.035102,Sample18
566.121311,522.130706,43.990605,Abiotic,Carboxylation,CO2,43.989829,Sample18
566.121311,538.08975,28.031561,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
566.121311,550.126528,15.994783,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
566.121311,564.106037,2.015274,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
566.121311,568.136987,2.015676,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
566.121311,580.13757,14.016259,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
566.121311,597.095802,30.974491,Abiotic,Inorganic_Phosphate,P,30.973763,Sample18
566.121311,551.11041,15.010901,Abiotic,Secondary_amine,NH,15.010899,Sample18
566.121311,646.078786,79.957475,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample18
566.121311,581.132009,15.010698,Abiotic,Secondary_amine,NH,15.010899,Sample18
566.121311,323.041818,243.079493,Abiotic,Biotinyl_(-H),C10H15N2O3S,243.080339,Sample18
566.121311,445.102412,121.018899,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,121.019750,Sample18
566.121311,455.101744,111.019567,Amino Acid,Uracil_(-H),C4H3N2O2,111.019452,Sample18
566.121311,509.098915,57.022396,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.021460,Sample18
566.121311,538.125932,27.995379,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
556.126716,409.059118,147.067598,Amino Acid,Phenylalanine_(-H2O),C9H9NO,147.068414,Sample18
556.126716,489.072122,67.054594,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample18
556.126716,541.115689,15.011027,Abiotic,Secondary_amine,NH,15.010899,Sample18
556.126716,425.086904,131.039812,Amino Acid,Methionine_(-H2O),C5H9NOS,131.040486,Sample18
556.126716,497.113473,59.013243,Abiotic,Acetylation_(-H),C2H3O2,59.013304,Sample18
556.126716,511.129456,44.99726,Abiotic,CHO2,CHO2,44.997654,Sample18
556.126716,554.110905,2.015811,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
556.126716,643.159358,87.032642,Amino Acid,Serine_(-H2O),C3H5NO2,87.032028,Sample18
556.126716,675.130191,119.003475,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,119.004100,Sample18
556.126716,677.146226,121.01951,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,121.019750,Sample18
556.126716,687.167865,131.041149,Amino Acid,Methionine_(-H2O),C5H9NOS,131.040486,Sample18
556.126716,659.135699,103.008983,Amino Acid,Cysteine_(-H2O),C3H5NOS,103.009186,Sample18
556.126716,249.043886,307.08283,Abiotic,GSH_Conjugation_2,C10H17N3O6S,307.083810,Sample18
556.126716,313.047298,243.079418,Abiotic,Biotinyl_(-H),C10H15N2O3S,243.080339,Sample18
556.126716,435.107856,121.01886,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,121.019750,Sample18
556.126716,499.092909,57.033807,Abiotic,Acetone_(-H),C3H5O,57.034040,Sample18
556.126716,557.157741,1.031025,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.031630,Sample18
556.126716,437.123607,119.003109,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,119.004100,Sample18
556.126716,571.137055,15.010339,Abiotic,Secondary_amine,NH,15.010899,Sample18
485.235777,501.254381,16.018604,Abiotic,Primary_amine,NH2,16.018724,Sample18
485.235777,547.151783,61.916006,Abiotic,Oxidative_Debromination_(-Br),HO,61.915600,Sample18
485.235777,499.23866,14.002883,Abiotic,Tertiary_amine,N,14.003074,Sample18
485.235777,457.203654,28.032123,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
485.235777,483.220118,2.015659,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
485.235777,459.219364,26.016413,Abiotic,C2H2,C2H2,26.015650,Sample18
565.090139,668.099771,103.009632,Amino Acid,Cysteine_(-H2O),C3H5NOS,103.009186,Sample18
565.090139,672.094269,107.00413,Other,Taurine_Conjugation_(-OH),C2H6NO3S,107.004100,Sample18
565.090139,684.094461,119.004322,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,119.004100,Sample18
565.090139,791.148642,226.058503,Amino Acid,Uridine_(-H2O),C9H10N2O5,226.058972,Sample18
565.090139,487.178723,77.911416,Abiotic,Reductive_Debromination_(-Br),H,77.910510,Sample18
565.090139,403.036601,162.053538,Sugar,Glucoside_Conjugation_(-H),C6H11O5,162.052820,Sample18
565.090139,508.056636,57.033503,Abiotic,Acetone_(-H),C3H5O,57.034040,Sample18
565.090139,537.05787,28.032269,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
565.090139,537.094237,27.995902,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
565.090139,539.073617,26.016522,Abiotic,C2H2,C2H2,26.015650,Sample18
565.090139,547.078991,18.011148,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
565.090139,547.100356,17.989783,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample18
565.090139,549.094686,15.995453,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
