Treatment,Mass,mean
A,318.9806545,0.0
A,319.00948,0.0
A,319.0104473,0.0
A,319.0206003,0.0
A,319.0216823,0.0
A,319.0459531,0.0
A,319.0469123,0.0
A,319.0570833,0.0
A,319.0580466,0.0
A,319.0679468,0.0
A,319.0823135,0.0
A,319.083308,0.0
A,319.0866839,0.0
A,319.0935711,0.0
A,319.0945341,0.0
A,319.1033487,0.0
A,319.104324,0.0
A,319.1186403,0.0
A,319.1196464,0.0
A,319.1406736,0.0
A,319.1550285,0.0
A,320.0411761,0.0
A,320.0421633,0.0
A,320.0490756,0.0
A,320.0775526,0.0
A,320.0785721,0.0
A,320.0887471,0.0
A,320.0986738,0.0
A,320.0995944,0.0
A,320.1138829,0.0
A,320.1149245,0.0
A,320.1350548,0.0
A,320.1359295,0.0
A,320.9236946,0.0
A,321.0251872,0.0
A,321.0261952,0.0
A,321.0364733,0.0
A,321.0374201,0.0
A,321.0404428,0.0
A,321.0615473,0.0
A,321.0625615,0.0
A,321.0647867,0.0
A,321.0728313,0.0
A,321.0738228,0.0
A,321.0924006,0.0
A,321.097924,0.0
A,321.098923,0.0
A,321.1091923,0.0
A,321.1101507,0.0
A,321.1343325,0.0
A,321.1353384,0.0
A,321.1707195,0.0
A,322.020453,0.0
A,322.0213436,0.0
A,322.0330202,0.0
A,322.0568001,0.0
A,322.0578273,0.0
A,322.0680704,0.0
A,322.0690206,0.0
A,322.0932728,0.0
A,322.0942649,0.0
A,322.1044623,0.0
A,322.130661,0.0
A,322.2137993,0.0
A,323.0044049,0.0
A,323.0054199,0.0
A,323.0193162,0.0
A,323.0197788,0.0
A,323.0205511,0.0
A,323.0407565,0.0
A,323.0418179,0.0
A,323.052108,0.0
A,323.0531137,0.0
A,323.0561147,0.0
A,323.0771941,0.0
A,323.0782222,0.0
A,323.0884078,0.0
A,323.0894538,0.0
A,323.1136236,0.0
A,323.1146676,0.0
A,323.116891,0.0
A,323.1178258,0.0
A,323.1500235,0.0
A,323.151092,0.0
A,323.1686122,0.0
A,323.1863363,0.0
A,324.0360058,0.0
A,324.0371415,0.0
A,324.0439278,0.0
A,324.0522421,0.0
A,324.0724062,0.0
A,324.0734513,0.0
A,324.1088215,0.0
A,324.109851,0.0
A,324.1164626,0.0
A,325.0200482,0.0
A,325.0210965,0.0
A,325.0353492,0.0
A,325.0363575,0.0
A,325.0468026,0.0
A,325.0475064,0.0
A,325.0564271,0.0
A,325.0574887,0.0
A,325.0676424,0.0
A,325.0687515,0.0
A,325.0717897,0.0
A,325.0726519,0.0
A,325.0928521,0.0
A,325.0939209,0.0
A,325.105111,0.0
A,325.1292776,0.0
A,325.1303811,0.0
A,325.147734,0.0
A,325.1655722,0.0
A,325.1667537,0.0
A,325.1842,0.0
A,326.0315905,0.0
A,326.0516933,0.0
A,326.0528171,0.0
A,326.0881374,0.0
A,326.0892502,0.0
A,326.1256424,0.0
A,327.0145196,0.0
A,327.0155864,0.0
A,327.0357477,0.0
A,327.0368776,0.0
A,327.0510418,0.0
A,327.0520548,0.0
A,327.0632639,0.0
A,327.0720991,0.0
A,327.0731891,0.0
A,327.0833341,0.0
A,327.0845155,0.0
A,327.0874445,0.0
A,327.0885665,0.0
A,327.0919516,0.0
A,327.1085002,0.0
A,327.10958,0.0
A,327.144953,0.0
A,327.146089,0.0
A,327.1634728,0.0
A,327.1811546,0.0
A,327.2176482,0.0
A,328.0461672,0.0
A,328.0473099,0.0
A,328.0674315,0.0
A,328.0686013,0.0
A,328.0766041,0.0
A,328.0836704,0.0
A,328.1037569,0.0
A,328.1049176,0.0
A,328.958861,0.0
A,328.9939093,0.0
A,329.0302551,0.0
A,329.0313617,0.0
A,329.0414908,0.0
A,329.0425353,0.0
A,329.0513784,0.0
A,329.0525286,0.0
A,329.0665938,0.0
A,329.0677496,0.0
