SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample11,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,5,0.0001637089908977
Sample11,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,6,0.0001964507890773
Sample11,Amino Acid,Adenosine_(-H2O),C10H11N5O3,6,0.0001964507890773
Sample11,Amino Acid,Guanosine_(-H2O),C10H11N5O4,10,0.0003274179817955
Sample11,Other,Stearyl_Conjugation_(-H),C18H35O,10,0.0003274179817955
Sample11,Amino Acid,Tryptophan_(-H2O),C11H10N2O,10,0.0003274179817955
Sample11,Abiotic,Biotinyl_(-H),C10H15N2O3S,11,0.0003601597799751
Sample11,Amino Acid,Thymidine_(-H2O),C10H12N2O4,19,0.0006220941654115
Sample11,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,19,0.0006220941654115
Sample11,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,23,0.0007530613581297
Sample11,Other,Diphosphate,H3O6P2,25,0.0008185449544889
Sample11,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,26,0.0008512867526684
Sample11,Abiotic,Reductive_Debromination_(-Br),H,29,0.0009495121472071
Sample11,Amino Acid,Thymine_(-H),C5H5N2O2,31,0.0010149957435662
Sample11,Amino Acid,Uridine_(-H2O),C9H10N2O5,32,0.0010477375417457
Sample11,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,32,0.0010477375417457
Sample11,Other,Alliin,C6H11NO3S,33,0.0010804793399253
Sample11,Abiotic,CHO2,CHO2,35,0.0011459629362844
Sample11,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,35,0.0011459629362844
Sample11,Amino Acid,Lysine_(-H2O),C6H12N2O,37,0.0012114465326435
Sample11,Amino Acid,Histidine_(-H2O),C6H7N3O,39,0.0012769301290026
Sample11,Abiotic,Isoprene_addition_(-H),C5H7,41,0.0013424137253617
Sample11,Amino Acid,Uracil_(-H),C4H3N2O2,42,0.0013751555235413
